Country,ISO3,Region,CPI score 2020,Rank 2020,CPI score 2019,Rank 2019,CPI score 2016,Rank 2016,Employment_ratio-2016,Employment_ratio-2019,GDP_per_capita-2016,GDP_per_capita-2019,HDI_index-2016,HDI_index-2019,Women_in_parliament_(%)-2016,Women_in_parliament_(%)-2019
Denmark,DNK,WE/EU,88,1,87,1,90.0,1.0,59.4,59.162,54314.381,57184.193,0.935,0.94,37.43,39.106
New Zealand,NZL,AP,88,1,87,1,90.0,1.0,65.774,67.063,41083.812,42887.518,0.924,0.931,31.405,40.833
Finland,FIN,WE/EU,85,3,86,3,89.0,3.0,53.32,55.185,46161.583,48621.089,0.932,0.938,41.5,47.0
Sweden,SWE,WE/EU,85,3,85,4,88.0,4.0,59.574,60.381,52116.147,53205.056,0.94,0.945,43.553,47.278
Switzerland,CHE,WE/EU,85,3,85,4,86.0,5.0,65.196,65.126,66570.617,68627.829,0.947,0.955,28.862,38.618
Singapore,SGP,AP,85,3,85,4,84.0,7.0,68.189,67.64,91075.535,97341.469,0.935,0.938,23.762,23.0
Norway,NOR,WE/EU,84,7,84,7,85.0,6.0,61.362,61.669,62010.34,63633.102,0.95,0.957,39.645,40.828
Netherlands,NLD,WE/EU,82,8,82,8,83.0,8.0,59.887,61.587,54101.265,57141.37,0.936,0.944,36.444,33.778
Germany,DEU,WE/EU,80,9,80,9,81.0,10.0,57.829,58.961,51930.163,53815.365,0.941,0.947,36.857,31.62
Luxembourg,LUX,WE/EU,80,9,80,9,81.0,10.0,54.514,56.146,113553.599,114481.534,0.91,0.916,28.333,25.0
Canada,CAN,AME,77,11,77,12,82.0,9.0,60.905,61.451,47705.523,49031.38,0.923,0.929,29.773,33.183
United Kingdom,GBR,WE/EU,77,11,77,12,81.0,10.0,59.504,60.357,45428.723,46699.302,0.924,0.932,27.348,28.909
Australia,AUS,AP,77,11,77,12,79.0,13.0,61.28,62.067,48585.89,49756.307,0.939,0.944,31.416,36.564
Hong Kong,HKG,AP,77,11,76,16,77.0,15.0,58.591,57.893,58096.3,59892.866,0.936,0.949,,
Belgium,BEL,WE/EU,76,15,75,17,77.0,15.0,49.064,50.569,49969.618,51707.792,0.924,0.931,42.381,43.333
Austria,AUT,WE/EU,76,15,77,12,75.0,17.0,56.866,57.848,53688.282,56352.445,0.917,0.922,30.328,38.525
Iceland,ISL,WE/EU,75,17,78,11,78.0,14.0,75.432,72.9,54407.728,55873.951,0.941,0.949,47.619,38.095
Estonia,EST,WE/EU,75,17,74,18,70.0,22.0,58.743,60.308,32021.063,36710.411,0.881,0.892,23.762,29.703
Japan,JPN,AP,74,19,73,20,72.0,20.0,58.573,60.312,39926.021,41429.288,0.912,0.919,13.25,14.507
Ireland,IRL,WE/EU,72,20,74,18,73.0,19.0,57.17,59.008,73034.513,86781.39,0.943,0.955,24.312,24.312
Uruguay,URY,AME,71,21,71,21,71.0,21.0,59.607,58.431,20862.171,21561.062,0.81,0.817,19.231,20.93
United Arab Emirates,ARE,MENA,71,21,71,21,66.0,24.0,81.162,80.166,66510.867,67119.133,0.864,0.89,22.5,50.0
France,FRA,WE/EU,69,23,69,23,69.0,23.0,49.79,50.48,43914.482,46183.522,0.894,0.901,25.73,36.865
Bhutan,BTN,AP,68,24,68,25,65.0,27.0,64.502,65.152,10775.146,11345.445,0.637,0.654,8.333,15.278
United States of America,USA,AME,67,25,69,23,74.0,18.0,59.131,59.765,59028.59,62682.8,0.922,0.926,19.549,23.729
Chile,CHL,AME,67,25,67,26,66.0,24.0,57.844,58.202,23721.606,24226.151,0.845,0.851,15.823,22.727
Seychelles,SYC,SSA,66,27,66,27,,,,,26421.941,29055.749,0.787,0.796,21.212,21.212
Barbados,BRB,AME,64,29,62,30,61.0,31.0,59.626,58.488,15738.189,15638.83,0.811,0.814,19.608,29.412
Bahamas,BHS,AME,63,30,64,29,66.0,24.0,65.207,66.835,35642.472,35782.798,0.81,0.814,16.667,21.818
Qatar,QAT,MENA,63,30,62,30,61.0,31.0,87.169,86.741,96060.235,92651.07,0.845,0.848,0.1,9.756
Spain,ESP,WE/EU,62,32,62,30,58.0,41.0,46.863,49.467,38553.603,40883.325,0.899,0.904,38.636,41.857
Portugal,PRT,WE/EU,61,33,62,30,62.0,29.0,52.043,55.086,31887.419,34797.994,0.855,0.864,34.783,38.696
"Korea, South",KOR,AP,61,33,59,39,53.0,52.0,60.453,60.358,39857.09,42661.172,0.91,0.916,17.0,16.667
Israel,ISR,MENA,60,35,60,35,64.0,28.0,61.145,61.569,38372.373,40161.919,0.913,0.919,26.667,23.333
Slovenia,SVN,WE/EU,60,35,60,35,61.0,31.0,52.191,55.913,34983.791,38688.783,0.9,0.917,27.692,22.308
Botswana,BWA,SSA,60,35,61,34,60.0,35.0,58.336,57.935,17117.072,17766.488,0.72,0.735,9.524,10.769
Lithuania,LTU,WE/EU,60,35,60,35,59.0,38.0,55.79,57.704,31992.645,36974.946,0.867,0.882,21.277,21.277
Brunei Darussalam,BRN,AP,60,35,60,35,58.0,41.0,59.953,58.781,60865.987,62099.588,0.839,0.838,6.452,9.091
Saint Vincent and the Grenadines,VCT,AME,59,40,59,39,60.0,35.0,53.128,53.432,12164.494,12466.235,0.734,0.738,13.043,13.043
Cabo Verde,CPV,SSA,58,41,58,41,59.0,38.0,52.79,53.049,6482.648,7171.839,0.657,0.665,23.611,23.611
Costa Rica,CRI,AME,57,42,56,44,58.0,41.0,54.261,54.737,18592.142,19642.418,0.801,0.81,33.333,45.614
Latvia,LVA,WE/EU,57,42,56,44,57.0,44.0,54.773,57.408,27207.146,30830.091,0.854,0.866,18.0,30.0
Cyprus,CYP,WE/EU,57,42,58,41,55.0,47.0,53.969,58.472,36526.819,39544.682,0.873,0.887,17.857,17.857
Poland,POL,WE/EU,56,45,58,41,62.0,29.0,53.297,54.731,28737.542,33086.39,0.869,0.88,24.821,27.857
Saint Lucia,LCA,AME,56,45,55,48,60.0,35.0,52.625,53.209,14516.59,15448.794,0.752,0.759,20.69,20.69
Georgia,GEO,ECA,56,45,56,44,57.0,44.0,57.074,58.492,12963.744,15014.288,0.792,0.812,16.0,14.765
Dominica,DMA,AME,55,48,55,48,59.0,38.0,,,12154.751,12155.559,0.74,0.742,21.875,25.0
Czechia,CZE,WE/EU,54,49,56,44,55.0,47.0,57.766,59.388,36982.189,40314.229,0.893,0.9,19.643,20.641
Rwanda,RWA,SSA,54,49,53,51,54.0,50.0,82.891,82.793,1950.331,2226.221,0.527,0.543,57.547,55.66
Oman,OMN,MENA,54,49,52,56,45.0,64.0,68.648,70.436,30190.994,27896.337,0.815,0.813,8.824,9.884
Grenada,GRD,AME,53,52,53,51,56.0,46.0,,,15613.973,17241.532,0.771,0.779,25.0,39.286
Malta,MLT,WE/EU,53,52,54,50,55.0,47.0,52.581,54.564,40112.929,43340.2,0.885,0.895,12.857,14.925
Mauritius,MUS,SSA,53,52,52,56,54.0,50.0,54.655,54.421,20646.933,22989.342,0.794,0.804,11.594,20.0
Italy,ITA,WE/EU,53,52,53,51,47.0,60.0,43.52,44.655,41037.603,42412.665,0.884,0.892,30.074,35.263
Saudi Arabia,SAU,MENA,53,52,53,51,46.0,62.0,53.138,52.568,48627.141,46962.141,0.859,0.854,19.868,19.868
Namibia,NAM,SSA,51,57,52,56,52.0,53.0,46.188,47.464,10266.746,9637.181,0.639,0.646,36.301,36.957
Malaysia,MYS,AP,51,57,53,51,49.0,55.0,62.079,62.152,25546.442,28350.59,0.8,0.81,12.937,15.517
Greece,GRC,WE/EU,50,59,48,60,44.0,69.0,39.949,42.844,28601.063,30314.566,0.874,0.888,19.667,20.667
Slovakia,SVK,WE/EU,49,60,50,59,51.0,54.0,54.251,56.23,30040.294,32792.555,0.853,0.86,20.0,20.0
Jordan,JOR,MENA,49,60,48,60,48.0,57.0,33.312,33.521,9867.022,9906.054,0.729,0.729,15.385,15.385
Armenia,ARM,ECA,49,60,42,77,33.0,113.0,46.097,46.173,11303.072,13653.75,0.766,0.776,10.687,23.485
Croatia,HRV,WE/EU,47,63,47,63,49.0,55.0,44.481,47.632,25478.531,28508.517,0.841,0.851,12.583,20.53
Cuba,CUB,AME,47,63,48,60,47.0,60.0,52.92,52.703,,,0.773,0.783,48.856,53.223
